id,15566-15567,15566-15568,15566-15569,15566-15570,15566-15571,15566-15572,15566-15573,15566-15574,15566-15575,15566-15576,15566-15577,15578-15579,15578-15580,15578-15581,15578-15582,15578-15583,15578-15584,15578-15585,15578-15586,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentityfaculty,15578-dibs_s1_0623_seepeoplethatincludeaspectsidentitystaff
afc16505-2fc3-11ee-bd49-0277fb2b250b,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,5,5,5,5,5,5
a844c830-2fd1-11ee-bd49-0277fb2b250b,3,4,3,4,5,5,3,5,5,5,4,4,4,5,4,4,4,4,4,4,4
d994299d-2fd5-11ee-bd49-0277fb2b250b,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37212b1a-2fe5-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
cd5f1c87-2fea-11ee-bd49-0277fb2b250b,3,4,4,3,4,4,2,5,4,5,3,4,5,4,3,3,3,3,4,4,4
d164f193-2fe3-11ee-bd49-0277fb2b250b,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
63eec072-2ff0-11ee-bd49-0277fb2b250b,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
606db542-2ff7-11ee-bd49-0277fb2b250b,4,4,5,5,5,1,1,5,4,5,3,5,5,5,3,3,3,3,3,5,5
5c49b4c1-2ffe-11ee-bd49-0277fb2b250b,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
277163b5-3001-11ee-bd49-0277fb2b250b,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
587a782c-3005-11ee-bd49-0277fb2b250b,4,4,5,4,4,3,2,5,3,4,4,4,4,4,3,3,3,4,5,3,3
f2a30fef-3003-11ee-bd49-0277fb2b250b,4,4,5,4,4,3,3,5,3,5,4,5,4,5,5,4,4,5,4,5,5
1fcc5606-300f-11ee-bd49-0277fb2b250b,4,5,5,5,5,3,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5
eb798b10-3011-11ee-bd49-0277fb2b250b,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,5,4,5,5,5
afee9cee-2fc3-11ee-bd49-0277fb2b250b,4,5,4,4,4,2,2,5,2,5,4,5,5,5,5,5,5,3,5,2,2
81896700-3017-11ee-bd49-0277fb2b250b,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
e6a42faa-3077-11ee-bd49-0277fb2b250b,3,4,4,4,4,2,2,5,4,5,4,4,5,4,4,4,4,4,4,4,4
12dadff7-3083-11ee-bd49-0277fb2b250b,4,4,4,4,4,4,,,,,,,4,4,,,,,,,
789a1f1a-3084-11ee-bd49-0277fb2b250b,4,5,4,2,4,3,2,5,3,5,,4,4,5,4,4,4,4,4,,4
de7d490a-3085-11ee-bd49-0277fb2b250b,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
103dc13d-308a-11ee-bd49-0277fb2b250b,3,5,5,5,4,5,2,5,4,5,4,4,5,5,4,4,5,4,4,3,3
749a6590-308b-11ee-bd49-0277fb2b250b,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4
753b109f-308b-11ee-bd49-0277fb2b250b,3,3,4,4,4,2,1,5,4,5,3,3,4,4,4,4,3,5,4,4,4
75c6ea20-308b-11ee-bd49-0277fb2b250b,3,5,4,3,4,4,4,5,4,5,5,4,5,4,5,4,4,3,4,3,3
db17811b-308c-11ee-bd49-0277fb2b250b,2,4,4,4,5,5,2,5,4,5,2,4,4,4,4,4,4,4,5,5,5
dae6ef0a-308c-11ee-bd49-0277fb2b250b,2,3,4,4,4,2,2,5,4,5,3,3,4,4,3,3,3,3,3,3,3
408fb391-308e-11ee-bd49-0277fb2b250b,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
40389641-308e-11ee-bd49-0277fb2b250b,3,4,4,4,3,3,3,5,4,5,3,3,4,4,4,4,3,4,4,4,4
40d2bfe1-308e-11ee-bd49-0277fb2b250b,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
a57a79eb-308f-11ee-bd49-0277fb2b250b,3,5,3,4,5,4,4,5,4,5,5,4,5,5,5,5,4,5,4,4,4
